종목코드,종목명,현재가,등락구분코드,등락폭,등락률,거래량,거래대금,지정일자
114190,강원,"2,500",0,0,"0.00","0","0","2020/04/06"
011690,유양디앤유,"1,220",0,0,"0.00","0","0","2020/04/03"
121890,에스디시스템,"739",0,0,"0.00","0","0","2020/04/03"
053660,현진소재,"400",0,0,"0.00","0","0","2020/04/03"
009730,코센,"490",4,113,"29.97","46,872,109","21,956,142,912","2020/03/31"
012170,키위미디어그룹,"150",0,0,"0.00","0","0","2020/03/30"
065620,제낙스,"3,190",0,0,"0.00","0","0","2020/03/30"
214310,세미콘라이트,"1,605",1,35,"2.23","2,938,536","4,486,276,090","2020/03/30"
033430,디에스티,"370",0,0,"0.00","0","0","2020/03/30"
066430,와이오엠,"2,265",1,75,"3.42","1,894,296","4,424,195,045","2020/03/30"
058220,아리온,"275",0,0,"0.00","0","0","2020/03/27"
101400,엔시트론,"313",1,5,"1.62","1,466,457","450,290,618","2020/03/24"
114570,지스마트글로벌,"62",0,0,"0.00","0","0","2020/03/24"
050540,한국코퍼레이션,"282",0,0,"0.00","0","0","2020/03/24"
052190,이에스에이,"295",0,0,"0.00","0","0","2020/03/24"
176440,에이치엔티,"1,920",0,0,"0.00","0","0","2020/03/24"
038160,팍스넷,"862",0,0,"0.00","0","0","2020/03/24"
033110,코너스톤네트웍스,"204",0,0,"0.00","0","0","2020/03/23"
158310,스타모빌리티,"505",0,0,"0.00","0","0","2020/03/23"
114120,크루셜텍,"567",2,14,"-2.41","1,047,678","599,147,126","2020/03/23"
263540,샘코,"2,015",0,0,"0.00","0","0","2020/03/23"
160600,에스엔텍비엠,"310",0,0,"0.00","0","0","2020/03/23"
036180,에이프런티어,"1,205",0,0,"0.00","0","0","2020/03/20"
101730,조이맥스,"3,590",2,80,"-2.18","22,544","79,629,085","2020/03/20"
052400,코나아이,"13,050",0,0,"0.00","0","0","2020/03/20"
057880,필로시스헬스케어,"1,675",2,105,"-5.90","4,095,933","7,065,067,965","2020/03/20"
014100,메디앙스,"4,195",0,0,"0.00","0","0","2020/03/20"
012600,청호컴넷,"2,140",1,30,"1.42","520,555","1,122,267,760","2020/03/20"
058420,제이웨이,"1,065",0,0,"0.00","0","0","2020/03/20"
103230,에스앤더블류,"2,160",2,120,"-5.26","88,900","192,429,455","2020/03/19"
087730,에스모 머티리얼즈,"388",0,0,"0.00","0","0","2020/03/19"
046210,파나진,"2,215",1,75,"3.50","544,973","1,239,674,965","2020/03/19"
141020,포티스,"108",0,0,"0.00","0","0","2020/03/18"
087600,픽셀플러스,"3,520",1,170,"5.07","32,938","114,256,495","2020/03/16"
010580,지코,"306",0,0,"0.00","0","0","2020/02/19"
204990,코썬바이오,"1,225",0,0,"0.00","0","0","2020/02/13"
032790,엠젠플러스,"4,075",0,0,"0.00","0","0","2020/01/16"
145210,세화아이엠씨,"2,990",0,0,"0.00","0","0","2020/01/06"
049180,셀루메드,"5,980",0,0,"0.00","0","0","2019/12/27"
197210,리드,"753",0,0,"0.00","0","0","2019/12/16"
900110,이스트아시아홀딩스,"230",0,0,"0.00","0","0","2019/12/13"
109070,컨버즈,"4,100",0,0,"0.00","0","0","2019/12/11"
035290,더블유에프엠,"11,750",0,0,"0.00","0","0","2019/11/07"
108860,셀바스AI,"3,780",0,0,"0.00","0","0","2019/10/31"
065560,녹원씨엔아이,"5,500",0,0,"0.00","0","0","2019/09/11"
222810,한류AI센터,"519",2,15,"-2.81","1,038,725","544,479,614","2019/08/30"
007630,폴루스바이오팜,"1,225",0,0,"0.00","0","0","2019/08/16"
103130,웅진에너지,"914",0,0,"0.00","0","0","2019/08/16"
028040,미래SCI,"279",0,0,"0.00","0","0","2019/08/16"
005450,신한,"4,945",0,0,"0.00","0","0","2019/08/16"
024830,세원물산,"6,280",0,0,"0.00","0","0","2019/08/16"
039230,에이아이비트,"181",0,0,"0.00","0","0","2019/08/16"
060300,레드로버,"610",0,0,"0.00","0","0","2019/07/22"
036260,이매진아시아,"2,220",0,0,"0.00","0","0","2019/07/09"
950160,코오롱티슈진,"8,010",0,0,"0.00","0","0","2019/07/08"
039670,한류타임즈,"917",0,0,"0.00","0","0","2019/06/24"
065420,에스아이리소스,"639",0,0,"0.00","0","0","2019/05/07"
900040,차이나그레이트,"518",0,0,"0.00","0","0","2019/04/19"
054220,비츠로시스,"485",0,0,"0.00","0","0","2019/04/15"
156100,엘앤케이바이오,"7,010",0,0,"0.00","0","0","2019/04/12"
195440,퓨전,"2,075",0,0,"0.00","0","0","2019/04/02"
112240,에스에프씨,"1,815",0,0,"0.00","0","0","2019/04/01"
083660,CSA 코스믹,"4,170",0,0,"0.00","0","0","2019/03/29"
094190,이엘케이,"787",0,0,"0.00","0","0","2019/03/28"
226350,아이엠텍,"214",0,0,"0.00","0","0","2019/03/22"
080440,에스제이케이,"498",0,0,"0.00","0","0","2019/03/22"
046070,코다코,"2,195",0,0,"0.00","0","0","2019/03/22"
178780,유테크,"2,040",1,25,"1.24","342,802","675,316,005","2019/03/22"
056730,포스링크,"1,460",0,0,"0.00","0","0","2019/03/22"
180400,캔서롭,"7,740",0,0,"0.00","0","0","2019/03/21"
138360,에이씨티,"4,480",0,0,"0.00","0","0","2019/03/21"
123750,알톤스포츠,"1,700",1,170,"11.11","1,724,548","2,912,985,535","2019/03/20"
043650,국순당,"3,595",0,0,"0.00","0","0","2019/03/20"
205500,액션스퀘어,"1,065",1,40,"3.90","192,854","201,635,805","2019/03/20"
043100,솔고바이오,"140",0,0,"0.00","0","0","2019/03/20"
033600,럭슬,"179",0,0,"0.00","0","0","2019/03/20"
069540,라이트론,"5,420",0,0,"0.00","0","0","2019/03/19"
168330,내츄럴엔도텍,"2,525",0,0,"0.00","0","0","2019/03/19"
033790,스카이문스테크놀로지,"829",0,0,"0.00","0","0","2019/03/19"
044180,KD,"495",0,0,"0.00","0","0","2019/03/19"
069330,유아이디,"1,055",0,0,"0.00","0","0","2019/03/19"
043590,크로바하이텍,"1,490",0,0,"0.00","0","0","2019/03/18"
182690,테라셈,"2,960",1,250,"9.23","661,983","1,880,664,650","2019/03/11"
083470,KJ프리텍,"1,895",0,0,"0.00","0","0","2019/02/21"
065940,바이오빌,"1,635",0,0,"0.00","0","0","2019/02/18"
052770,와이디온라인,"4,460",0,0,"0.00","0","0","2019/02/12"
064520,바른전자,"1,210",0,0,"0.00","0","0","2019/01/29"
106080,하이소닉,"3,330",0,0,"0.00","0","0","2019/01/29"
102210,해덕파워웨이,"1,100",0,0,"0.00","0","0","2019/01/09"
084180,수성,"1,300",3,0,"0.00","143,459","183,993,670","2018/11/08"
111820,지와이커머스,"2,465",0,0,"0.00","0","0","2018/10/22"
079190,EMW,"2,780",0,0,"0.00","0","0","2018/10/17"
134780,화진,"3,060",0,0,"0.00","0","0","2018/09/28"
054340,피앤텔,"6,680",0,0,"0.00","0","0","2018/08/16"
065150,MP그룹,"1,315",0,0,"0.00","0","0","2018/08/16"
066790,씨씨에스,"423",0,0,"0.00","0","0","2018/07/30"
149940,모다,"155",0,0,"0.00","0","0","2018/04/03"
192410,감마누,"408",0,0,"0.00","0","0","2018/03/23"
008800,행남사,"1,770",0,0,"0.00","0","0","2018/03/23"
194510,파티게임즈,"536",0,0,"0.00","0","0","2018/03/22"
030270,에스마크,"998",0,0,"0.00","0","0","2018/01/17"
078940,코드네이처,"2,980",0,0,"0.00","0","0","2017/09/25"
019590,엠벤처투자,"1,160",0,0,"0.00","0","0","2017/03/23"
050320,에이앤티앤,"1,385",0,0,"0.00","0","0","2017/03/23"
101680,한국정밀기계,"2,515",0,0,"0.00","0","0","2017/03/16"
115530,씨엔플러스,"839",0,0,"0.00","0","0","2017/03/16"